@relation twit_classification

@attribute 1st_person_pro numeric
@attribute 2nd_person_pro numeric
@attribute 3rd_person_pro numeric
@attribute coord_conj numeric
@attribute past_verb numeric
@attribute future_tense numeric
@attribute comma numeric
@attribute colon numeric
@attribute dash numeric
@attribute parenthese numeric
@attribute ellipse numeric
@attribute common_noun numeric
@attribute proper_noun numeric
@attribute adverb numeric
@attribute wh_word numeric
@attribute slang numeric
@attribute all_upper_word numeric
@attribute avg_sent_len numeric
@attribute avg_token_len numeric
@attribute num_of_sent numeric
@attribute twit {Barack-Obama,Stephen-Colbert,Ashton-Kutcher,Kim-Kardashian,Neil-Tyson,Shakira}

@data
1,1,0,0,0,1,0,1,0,0,0,2,3,0,1,0,0,6.500000,3.357143,2,Barack-Obama
0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,5.500000,5.166667,2,Barack-Obama
0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,2,10.000000,4.600000,2,Barack-Obama
0,0,0,0,1,0,0,0,0,0,0,3,6,1,0,0,0,8.000000,4.294118,2,Barack-Obama
0,0,1,0,0,0,0,0,0,0,0,2,5,0,0,0,1,6.500000,3.642857,2,Barack-Obama
0,0,1,1,0,0,1,0,0,0,0,4,0,3,0,0,0,17.000000,4.210526,1,Barack-Obama
0,0,1,1,0,1,0,1,0,0,0,6,2,1,0,0,2,9.500000,3.500000,2,Barack-Obama
0,0,0,0,0,1,0,0,0,0,0,5,2,0,0,0,0,20.000000,4.782609,1,Barack-Obama
0,0,1,1,1,1,1,0,0,0,0,6,3,1,0,0,0,28.000000,3.666667,1,Barack-Obama
0,0,0,1,1,0,1,1,0,0,0,7,3,0,0,0,0,8.500000,4.842105,2,Barack-Obama
0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,1,3.500000,1.900000,2,Barack-Obama
2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,17.000000,4.263158,1,Barack-Obama
0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,2.500000,2.000000,2,Barack-Obama
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.000000,3.666667,1,Barack-Obama
0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,8.000000,4.000000,1,Barack-Obama
0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,10.000000,4.083333,1,Barack-Obama
0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,17.000000,4.750000,1,Barack-Obama
1,0,0,1,1,0,0,0,0,0,0,6,2,0,0,0,0,22.000000,4.521739,1,Barack-Obama
0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,9.000000,3.700000,1,Barack-Obama
3,0,0,1,1,1,2,0,0,0,0,7,0,1,0,0,0,12.500000,3.678571,2,Barack-Obama
1,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,5.666667,4.000000,3,Barack-Obama
0,1,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,10.000000,2.666667,1,Barack-Obama
0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,16.000000,4.473684,1,Barack-Obama
1,0,0,1,0,0,1,0,0,0,0,7,1,1,0,0,0,13.500000,3.620690,2,Barack-Obama
0,0,0,1,0,0,0,1,2,0,0,5,6,0,0,0,1,9.500000,4.050000,2,Barack-Obama
0,0,1,1,0,0,2,1,0,0,0,4,5,1,0,0,0,22.000000,3.961538,1,Barack-Obama
0,0,0,0,0,0,0,1,0,0,0,6,3,0,0,0,1,9.500000,3.714286,2,Barack-Obama
1,0,1,1,0,0,0,0,0,0,0,6,3,0,0,0,0,12.000000,4.240000,2,Barack-Obama
0,0,0,1,0,0,0,1,0,0,0,4,7,0,0,0,0,18.000000,3.904762,1,Barack-Obama
0,0,0,0,0,0,0,2,0,0,0,9,4,0,0,0,2,18.000000,3.850000,1,Barack-Obama
0,0,0,0,0,0,0,2,0,0,0,7,5,0,0,0,2,11.000000,3.583333,2,Barack-Obama
0,0,0,0,0,0,0,1,0,0,0,2,6,0,0,0,0,7.000000,4.200000,2,Barack-Obama
