@relation twit_classification

@attribute 1st_person_pro numeric
@attribute 2nd_person_pro numeric
@attribute 3rd_person_pro numeric
@attribute coord_conj numeric
@attribute past_verb numeric
@attribute future_tense numeric
@attribute comma numeric
@attribute colon numeric
@attribute dash numeric
@attribute parenthese numeric
@attribute ellipse numeric
@attribute common_noun numeric
@attribute proper_noun numeric
@attribute adverb numeric
@attribute wh_word numeric
@attribute slang numeric
@attribute all_upper_word numeric
@attribute avg_sent_len numeric
@attribute avg_token_len numeric
@attribute num_of_sent numeric
@attribute twit {CBC,CNN,Toronto-Star,Reuters,New-York-Times,The-Onion}

@data
0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,10.000000,4.500000,1,CBC
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5.000000,4.800000,1,CBC
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,8.000000,4.666667,1,CBC
0,0,0,0,1,0,0,0,0,0,0,3,6,0,0,0,0,17.000000,3.900000,1,CBC
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,7.000000,5.571429,1,CBC
0,0,0,0,0,0,1,1,0,0,0,4,2,0,0,0,2,10.000000,4.384615,1,CBC
0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,7.000000,5.250000,1,CBC
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8.000000,5.333333,1,CBC
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,7.000000,4.888889,1,CBC
0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,9.000000,4.100000,1,CBC
0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,9.000000,4.300000,1,CBC
0,0,0,0,0,0,0,1,0,0,0,9,0,2,0,0,1,14.000000,4.000000,1,CBC
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6.000000,6.000000,1,CBC
0,0,1,1,0,0,1,1,0,0,0,5,2,0,0,0,2,11.000000,3.062500,1,CBC
0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6.000000,4.666667,1,CBC
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,6.000000,6.571429,1,CBC
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,7.000000,5.000000,1,CBC
0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,9.000000,4.666667,1,CBC
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6.000000,4.833333,1,CBC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.500000,6.666667,2,CBC
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.000000,7.400000,1,CBC
